ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
1040,kothapet & dilsukhnagar,hyderabad,vaishnavi tiffins meals fast food,360,2.9,80,chinese,kothapet & dilsukhnagar,49,0.58,0.211764706,3.3,3.1
1041,ameerpet,hyderabad,raagam foods,300,2.9,80,biryani,ameerpet,73,0.58,0.176470588,3.8,2.9
1042,ameerpet,hyderabad,sonu de snacks,150,2.9,80,pizzas  north indian  fast food,ameerpet,77,0.58,0.088235294,4.5,3.8
1043,banjara hills,hyderabad,bijing chef,180,2.9,80,chinese,banjara hills,57,0.58,0.105882353,3.3,4.2
1044,kothapet & dilsukhnagar,hyderabad,mana inti ruchulu,200,2.9,80,indian,kothapet & dilsukhnagar,56,0.58,0.117647059,4.1,3.3
1045,santoshnagar & saidabad,hyderabad,hotel sahara,200,2.9,80,"south indian,chinese,biryani",santoshnagar & saidabad,43,0.58,0.117647059,4.7,4.2
1046,tarnaka  nacharam & malkajigiri,hyderabad,sm cake o clock bakers,400,2.9,80,bakery  fast food,tarnaka  nacharam & malkajigiri,70,0.58,0.235294118,4,3.2
1047,mehdipatnam,hyderabad,food planet restaurant,200,2.9,80,"chinese,north indian",mehdipatnam,49,0.58,0.117647059,3.1,4.8
1048,ameerpet,hyderabad,the tim cafe,200,2.9,80,snacks  mexican  pizzas  italian,ameerpet,74,0.58,0.117647059,2.6,4.7
1049,nallakunta & vidyanagar,hyderabad,food studio,220,2.9,80,"indian,chinese,arabian,fast food",nallakunta & vidyanagar,62,0.58,0.129411765,4.7,2.7
1050,santoshnagar & saidabad,hyderabad,saleem phekus,250,2.9,80,"chinese,snacks",santoshnagar & saidabad,37,0.58,0.147058824,2.6,2.9
1051,ameerpet,hyderabad,assr enterprises,250,2.9,80,beverages,ameerpet,74,0.58,0.147058824,4.7,4.2
1052,santoshnagar & saidabad,hyderabad,ms crunchy bites,200,2.9,80,"pizzas,fast food,beverages",santoshnagar & saidabad,46,0.58,0.117647059,3.8,2.5
1053,himayath nagar,hyderabad,awesome dimsum,600,2.9,80,north indian,himayath nagar,33,0.58,0.352941176,4.8,4.6
1054,himayath nagar,hyderabad,teas n more,150,2.9,80,"beverages,fast food,snacks,pizzas,chinese",himayath nagar,41,0.58,0.088235294,4.5,3.4
1055,tarnaka nacharam & malkajigiri,hyderabad,nallibokka muttonmukka,500,2.9,80,"indian,chinese,biryani",tarnaka nacharam & malkajigiri,67,0.58,0.294117647,5,4.4
1056,ameerpet,hyderabad,t-ruchi,2,2.9,80,chaat  fast food,ameerpet,64,0.58,0.001176471,3.4,2.6
1057,charminar,hyderabad,gharib nawaz fast food & biryani,200,2.9,80,"chinese,beverages",charminar,50,0.58,0.117647059,4.4,3
1058,ameerpet,hyderabad,sri sai tiffins and chat,250,2.9,80,south indian,ameerpet,73,0.58,0.147058824,3.5,2.7
1059,charminar,hyderabad,mashallah bait al mandi the arabian restaurant,1600,2.9,80,north indian,aramghar & sivarampally,79,0.58,0.941176471,3.7,2.9
1060,charminar,hyderabad,a'la liberty,450,4.3,20,"north indian,chinese,biryani",charminar,41,0.86,0.264705882,4.1,3.5
